index_code,date,open,close,low,high,volume,money,change,label
sh000001,37935.0000 ,1330.9600 ,1340.1000 ,1322.0500 ,1340.8700 ,8309790000.0000 ,5548321500.0000 ,0.0037 ,1350.3900 
sh000001,37936.0000 ,1340.3200 ,1343.6200 ,1331.1200 ,1350.3900 ,9039080000.0000 ,5906508400.0000 ,0.0026 ,1341.5800 
sh000001,37937.0000 ,1341.5700 ,1317.7900 ,1316.8500 ,1341.5800 ,9514887000.0000 ,6200651600.0000 ,-0.0192 ,1324.9800 
sh000001,37938.0000 ,1313.9300 ,1319.6100 ,1307.4000 ,1324.9800 ,8370391000.0000 ,5456608500.0000 ,0.0014 ,1331.4200 
sh000001,37939.0000 ,1318.7200 ,1331.0500 ,1312.7900 ,1331.4200 ,7507954000.0000 ,4940258700.0000 ,0.0087 ,1333.4100 
sh000001,37942.0000 ,1330.4900 ,1328.1000 ,1323.6800 ,1333.4100 ,5861500000.0000 ,3907009500.0000 ,-0.0022 ,1336.1000 
sh000001,37943.0000 ,1334.6500 ,1316.5600 ,1314.9900 ,1336.1000 ,14755359000.0000 ,9385899800.0000 ,-0.0087 ,1341.5600 
sh000001,37944.0000 ,1313.8400 ,1338.8700 ,1312.5600 ,1341.5600 ,10208003000.0000 ,6767137500.0000 ,0.0169 ,1377.1200 
sh000001,37945.0000 ,1338.6000 ,1376.5100 ,1336.1400 ,1377.1200 ,20390415000.0000 ,13279890900.0000 ,0.0281 ,1394.5700 
sh000001,37946.0000 ,1379.9400 ,1361.5600 ,1359.9000 ,1394.5700 ,20088345000.0000 ,13213181200.0000 ,-0.0109 ,1404.2500 
sh000001,37949.0000 ,1360.3300 ,1404.0100 ,1360.2300 ,1404.2500 ,18450591000.0000 ,12336724800.0000 ,0.0312 ,1423.5800 
sh000001,37950.0000 ,1407.7600 ,1408.4200 ,1400.9000 ,1423.5800 ,25213533000.0000 ,17502878800.0000 ,0.0031 ,1413.7700 
sh000001,37951.0000 ,1407.3000 ,1411.9100 ,1398.0300 ,1413.7700 ,16574547000.0000 ,11468125200.0000 ,0.0025 ,1415.7400 
sh000001,37952.0000 ,1412.3100 ,1389.1000 ,1387.7900 ,1415.7400 ,14961349000.0000 ,10217130300.0000 ,-0.0162 ,1401.4600 
sh000001,37953.0000 ,1388.3100 ,1397.2300 ,1385.8200 ,1401.4600 ,12004909000.0000 ,8451705700.0000 ,0.0059 ,1432.8200 
sh000001,37956.0000 ,1398.7100 ,1432.7000 ,1398.7100 ,1432.8200 ,18134167000.0000 ,12584203000.0000 ,0.0254 ,1444.5700 
sh000001,37957.0000 ,1437.2400 ,1435.3100 ,1430.2400 ,1444.5700 ,19446542000.0000 ,13336005100.0000 ,0.0018 ,1462.0700 
sh000001,37958.0000 ,1434.7000 ,1445.0300 ,1424.3500 ,1462.0700 ,21456555000.0000 ,14797767700.0000 ,0.0068 ,1454.3200 
sh000001,37959.0000 ,1445.4000 ,1452.8100 ,1440.8200 ,1454.3200 ,18295454000.0000 ,13368887000.0000 ,0.0054 ,1456.8700 
sh000001,37960.0000 ,1454.4100 ,1451.1200 ,1440.7900 ,1456.8700 ,14946759000.0000 ,10633741000.0000 ,-0.0012 ,1459.4800 
sh000001,37963.0000 ,1452.1100 ,1436.6600 ,1435.1400 ,1459.4800 ,13265913000.0000 ,9186330800.0000 ,-0.0100 ,1443.6100 
sh000001,37964.0000 ,1435.1000 ,1443.3700 ,1429.0600 ,1443.6100 ,10902273000.0000 ,7874664900.0000 ,0.0047 ,1469.7100 
sh000001,37965.0000 ,1449.5700 ,1469.4200 ,1448.5000 ,1469.7100 ,19950479000.0000 ,14227133400.0000 ,0.0180 ,1475.3800 
sh000001,37966.0000 ,1472.3900 ,1470.0200 ,1460.1900 ,1475.3800 ,18492372000.0000 ,13753307700.0000 ,0.0004 ,1472.8600 
sh000001,37967.0000 ,1469.7000 ,1470.7900 ,1459.5500 ,1472.8600 ,14712021000.0000 ,10809049700.0000 ,0.0005 ,1474.6700 
sh000001,37970.0000 ,1471.2400 ,1470.3600 ,1465.5100 ,1474.6700 ,11016232000.0000 ,8211120000.0000 ,-0.0003 ,1469.1200 
sh000001,37971.0000 ,1469.1200 ,1466.3400 ,1441.0600 ,1469.1200 ,16081470000.0000 ,11365396000.0000 ,-0.0027 ,1480.4300 
sh000001,37972.0000 ,1465.6100 ,1454.0000 ,1453.8800 ,1480.4300 ,16846909000.0000 ,12189970100.0000 ,-0.0084 ,1458.6700 
sh000001,37973.0000 ,1450.8500 ,1457.3000 ,1445.0800 ,1458.6700 ,13999332000.0000 ,10424715500.0000 ,0.0023 ,1470.2100 
sh000001,37974.0000 ,1463.4500 ,1446.2900 ,1429.7100 ,1470.2100 ,23648083000.0000 ,16958311700.0000 ,-0.0076 ,1493.5400 
sh000001,37977.0000 ,1444.1700 ,1492.9600 ,1441.5900 ,1493.5400 ,26469778000.0000 ,19673211100.0000 ,0.0323 ,1507.0400 
sh000001,37978.0000 ,1497.5700 ,1500.6400 ,1487.1200 ,1507.0400 ,24395818000.0000 ,17459588300.0000 ,0.0051 ,1514.3200 
sh000001,37979.0000 ,1501.3600 ,1513.8300 ,1498.9800 ,1514.3200 ,20473786000.0000 ,15566224500.0000 ,0.0088 ,1525.3000 
sh000001,37980.0000 ,1514.9300 ,1512.6000 ,1504.2500 ,1525.3000 ,20516744000.0000 ,15161349300.0000 ,-0.0008 ,1516.4800 
sh000001,37981.0000 ,1513.1100 ,1514.7800 ,1504.1300 ,1516.4800 ,15737384000.0000 ,12143883700.0000 ,0.0014 ,1512.9800 
sh000001,37984.0000 ,1509.2800 ,1496.4300 ,1495.5400 ,1512.9800 ,14073034000.0000 ,10447007000.0000 ,-0.0121 ,1513.7300 
sh000001,37985.0000 ,1495.6700 ,1511.6900 ,1495.3900 ,1513.7300 ,15176575000.0000 ,11547472700.0000 ,0.0102 ,1516.5200 
sh000001,37986.0000 ,1513.6200 ,1497.0400 ,1491.2500 ,1516.5200 ,14562384000.0000 ,11149813600.0000 ,-0.0097 ,1526.2400 
sh000001,37988.0000 ,1492.7200 ,1517.1900 ,1491.6900 ,1526.2400 ,16680528000.0000 ,12531961000.0000 ,0.0135 ,1568.8200 
sh000001,37991.0000 ,1516.8000 ,1568.3500 ,1516.7000 ,1568.8200 ,28573006000.0000 ,21464334800.0000 ,0.0337 ,1589.0800 
sh000001,37992.0000 ,1568.9000 ,1574.5200 ,1557.9300 ,1589.0800 ,32698229000.0000 ,24071373000.0000 ,0.0039 ,1595.0000 
sh000001,37993.0000 ,1574.1000 ,1587.2000 ,1565.0900 ,1595.0000 ,30530408000.0000 ,23081933900.0000 ,0.0081 ,1616.5800 
sh000001,37994.0000 ,1587.4500 ,1610.1300 ,1582.8800 ,1616.5800 ,28440593000.0000 ,22109284300.0000 ,0.0144 ,1618.7600 
sh000001,37995.0000 ,1612.3900 ,1581.4700 ,1579.6900 ,1618.7600 ,32068668000.0000 ,25029921800.0000 ,-0.0178 ,1619.0900 
sh000001,37998.0000 ,1579.8800 ,1618.5200 ,1573.7700 ,1619.0900 ,22984141000.0000 ,18516250800.0000 ,0.0234 ,1627.4900 
sh000001,37999.0000 ,1622.0500 ,1612.6800 ,1596.7200 ,1627.4900 ,25933632000.0000 ,20596111000.0000 ,-0.0036 ,1613.1500 
sh000001,38000.0000 ,1612.9200 ,1592.4200 ,1585.9100 ,1613.1500 ,20499875000.0000 ,15658247600.0000 ,-0.0126 ,1601.4100 
sh000001,38001.0000 ,1591.8200 ,1586.4900 ,1582.3600 ,1601.4100 ,18761966000.0000 ,14540642000.0000 ,-0.0037 ,1604.7600 
sh000001,38002.0000 ,1589.3800 ,1600.4300 ,1579.2400 ,1604.7600 ,20528933000.0000 ,16190879000.0000 ,0.0088 ,1629.1800 
sh000001,38015.0000 ,1605.2500 ,1628.8400 ,1603.3100 ,1629.1800 ,18479304000.0000 ,14918171700.0000 ,0.0178 ,1634.4100 
sh000001,38016.0000 ,1631.1100 ,1590.7300 ,1589.4000 ,1634.4100 ,24062130000.0000 ,19061625500.0000 ,-0.0234 ,1650.2900 
sh000001,38019.0000 ,1630.6500 ,1623.8800 ,1585.9600 ,1650.2900 ,34588300000.0000 ,27005597700.0000 ,0.0208 ,1650.2400 
sh000001,38020.0000 ,1625.2900 ,1649.2800 ,1615.8100 ,1650.2400 ,26584224000.0000 ,21164115400.0000 ,0.0156 ,1685.7700 
sh000001,38021.0000 ,1652.6100 ,1685.1600 ,1652.6100 ,1685.7700 ,32564901000.0000 ,26611897400.0000 ,0.0218 ,1693.9000 
sh000001,38022.0000 ,1690.9400 ,1693.4300 ,1674.6200 ,1693.9000 ,32630049000.0000 ,26337210800.0000 ,0.0049 ,1705.9100 
sh000001,38023.0000 ,1690.5600 ,1679.1900 ,1671.4000 ,1705.9100 ,33895954000.0000 ,26840607100.0000 ,-0.0084 ,1703.7700 
